No,Author,Date,Rating,Review
143,Mr. Migraine,Reviewed in the United States on 28 January 2024,1,"The media could not be loaded.UPDATE: Been at this for days and days. Intel core i9-14900k on ASUS z790 Strix is a BSOD MACHINE. Previouslyit would run for many minutes. Now it barely goes one ir two minutes before freezing and a BSOD. Now I'm doing ASUS BIOS MemTest86 so far so good (for the RAM).While Windows 11 Pro was working I did the Memory Diagnostics and it said it passed. So either the CPU or the Motherboard is bad.New ASUS Z790 Strix, with new Intel i9-14900k, with new T700 2TB Gen5 PCIE 5 NVME M2, and new 64GB DDR5 6400 RAM, with Runs Windows 11 Pro. All drivers up and Windows are up to date.I've not done any overclocking or XMP in the bios to push the RAM 4000Mhz to the advertised 6400. I avoided buying RAM that can go 8000Mhz with XMP because there are so very many failures with those--and I wanted 8000 because I wanted a system with no bottlenecks as much as possible.Runs great for about 5 to 30 minutes. Temps run from 30s to 50s to high 80s bouncing up and down like normal. Then BOOM BSODs.I will do tests including memory, cpu, and double check drivers.Most websites point to a CPU issue. Some mention RAM or drivers.I'm either going to solve this issue or return this i9-14900 CPU and replace it with an i9-13900.I hope to remember this review and update it with success info."
144,Fernando Moreno,Reviewed in Mexico on 28 May 2024,1,"The product was imported, and I understand that the box might have been opened, but it arrived with thermal paste residue, suggesting it might have been used or returned. The uncertainty of not knowing how much stress the processor endured before being sent is concerning, especially when expecting a new product.

Update: The processor indeed arrived damaged. The initial issue was preventing Windows installation. I diagnosed the problem by entering BIOS and disabling all cores, then gradually enabling them one by one. With only one core enabled, I was able to install Windows. To summarize, all E-cores functioned, but cores 4, 6, and 7 of the P-cores were damaged. Enabling any of these three cores from BIOS caused blue screens, freezes, or random program shutdowns.

While it's possible this was a factory defect, the presence of thermal paste around the edges upon arrival raised suspicions about the processor's condition. I have requested a refund."
145,Amazon Customer,Reviewed in the United States on 13 April 2024,1,"Where do I begin... In between the stability issues this causes, the blue screens of death, the fact that you can't run even Minesweeper due to the problems this processor causes, the ""lack of video resources"" not caused by the GPU but rather by the CPU, the constant need for undervolting of a so-called high end chip, the overheating of the processor, the fact that Intel stayed quiet about this and STILL hasn't taken any action so far, that so many customers have been forced to ask for returns, or the fact that this was hushed for so long that it'll be a miracle to get a refund... Disappointment is still too light a term to refer to what went on with these processors. Honestly, this already falls within a product recall territory, and it's both a scam and an insult to every potential customer out there."
146,dino,Reviewed in the United States on 2 June 2024,1,Defective from manufacturer constant game crashes because of power throttle issue. Intel needs to recall this product and refund everyone.I replaced every part on my new PC build only to find out the issues was this Intel CPU (amazon 30 day warranty had already expired by then).I'm now having to wait for months attempting to get a refund from intel.This is a well-known issue and Intel refuses to admit and recall product
147,Nathan,Reviewed in the United States on 17 April 2024,1,"I'm a game developer and decided to switch from AMD to Intel for my latest build. The amount of problems this CPU has caused me has cost me hundreds of hours of work. I've been building computers for over 20 years and this is by far the absolute worst component of all time. E cores will cause instability in almost every multithreaded application, clocking has to be severely limited to avoid blue screen of death, Intel Extreme Tuning Utility is borderline malware, and the high thread count is just deceptive marketing because 1/3 of the cores are laptop grade. It gave the illusion of stability through the return period so I'm now stuck with a $500 paper weight CPU and motherboard."
148,HB,Reviewed in the United States on 18 May 2024,1,"This CPU is a scam. I spent four months debugging my new system, went through three motherboards, two sets of RAM and countless hours of debugging and trying, just to figure out that this CPU is garbage. I can't get my system stable, it keeps failing. This CPU is so overclocked that it does not run stable. Ever. Safe your money, times and nerves and stay as far away from this CPU as you can. I will never buy Intel again."
149,Kal,Reviewed in the United States on 19 March 2024,1,"I’ve always used Intel, as my experiences with AMD have never been great. Wanted to upgrade from my 8700K as I’m doing a lot more rendering/3D work and I need the extra cores and performance. I thought I did my due diligence and picked out ram that was compatible with my motherboard, a suitable CPU cooler, etc to ensure a smooth upgrade.Ultimately was met with so much instability, crashes, high power usage and heat. The instability seemed incurable so I returned everything and switched to the 7950x3d… and it just worked straight out of the box, runs so much cooler and less power draw, with no crashes. It’s not as fast as the 14900k in my tasks, but the other benefits out weigh the decrease in performance."
150,Jp,Reviewed in the United States on 13 June 2024,1,Ive tried both 13900k and 14900 k and have had issues with everything crashing games applications. I have changed multiple motherboard’s and ram kits very unstable. Dont recommend and or wish this stressful and painful struggle to anyone. I have tried many things and nothing absolutely nothing works
151,Clayton,Reviewed in the United States on 5 June 2024,1,Products work well but runs very hot. Tribal packaging tho the only Protection was a piece of crumpled paper. The cpu wasn't even in the packaging it had folen out and was just tumbling around the box when it arrived. luckily didn't have any noticeable damage though
152,Sarah Lucas,Reviewed in the United States on 27 April 2024,1,"Intel has pushed these 13th and 14th Gen i9's way too far in an effort to keep up with AMD. They come out of the box with maxed out settings, including a nearly unlimited 5000w (yes, thousand) available power draw. Intel customer support will ask you to manually configure the BIOS to a setting that effectively renders it a very expensive i7. Wait until they get this fixed, if it's even possible, unless you just really like underclocking and BSODs"
153,David Davidson,Reviewed in the United States on 16 June 2024,1,"This thing is unstable and intel knows it, can’t run it above base profiles or it crashes constantly and intel still doesn’t know how to fix it. Everyone who bought this overpriced room heating device should be refunded at once"
154,Andre Lup,Reviewed in the United States on 17 May 2024,1,This CPU is a piece of garbage. Can’t run most games without special settings that are all different from each other depending on the game. Don’t buy this worthless CPU. Was better off sticking with my 10th gen I7
155,Kindle Customer,Reviewed in the United States on 20 May 2024,1,"Installed on an Asus Z790 Hero motherboard, the system was unstable when attempting to undervolt the CPU, and tweaking settings never stabilized it. Hopefully, Intel will release more stable silicon in their next generation."
156,Steve R. Schamberger,Reviewed in the United States on 11 June 2024,1,"It's fast, but it's not great for quality"
157,Justin,Reviewed in the United States on 7 May 2024,1,Brand new chip doesn’t even work. How’d are these for sale? Returned this. Amazon received this almost one month ago and still hasn’t issued a refund.
158,Erebus,Reviewed in the United States on 30 December 2023,1,"While you are installing windows, when you get stuck on finding a network but no networks are listed and it won't let you continue. This is because Windows 11 doesn't support your built in LAN/Wi-Fi drivers.The solution for this is to hitShift+F10 which will bring up the command prompt window. From here you typeOOBE\BYPASSNRO which will re-enable the ""I don't have internet"" option.This will let you continue installing windows.Now you can troubleshoot your network from windows."
159,David S.,Reviewed in the United States on 21 March 2024,1,I received a processor in an Intel I box.No markings on the processor itself. Thermal paste residue still on the processor.This is crazy!!!
160,Aly0110,Reviewed in the United States on 14 February 2024,1,"The listing for this product claims that you don't need a discrete graphics card. This is incorrect, the KF model does not bring an onboard graphics card. This wasted my time and slowed down the timeline for my NAS build by 3 whole days. Thanks."
161,Synthol_Shopper,Reviewed in the United States on 21 November 2023,1,"Quality/silicon control on 14700k is chaos. What the hell intel thinking and doing I dont know.My 13600KF took 7400mhz ram like champ, while this thing cant get even 6800mhz stable... Very dissapointed.1.35v 300w in cinebench with 100c temps with arctic freezer 280mm (that beats most of 360mm AIOs) + bending corrector and good paste.TRASH."
162,Shelly Morgan,Reviewed in the United States on 21 October 2023,1,This thing is a total scam from the i9 13900k or kf. It’s literally the same thing. The advertise that its goes up to 6000hz but that’s only on two cores of course and only when you don’t need them do they go that high. I had higher cinebench scores on my i9 13900kf then I did on this processor. It’s the same thing just overclocked out of the box. Save your money
163,conner wells,Reviewed in the United States on 22 December 2023,1,Faulty cpuThey aren’t properly tested before shippingPc booted into windows but couldn’t handle any intensive tasks unless a dedicated gpu wasn’t installed
